"menu,材料,1人当たり,単位"
"ホットサンド,食パン8枚切り,1.1,枚"
"ホットサンド,ハム,0.57,枚"
"ホットサンド,とろけるスライスチーズ,0.57,枚"
"ホットドッグ,ロールパン,1.3,個"
"ホットドッグ,ウィンナー,1.3,本"
"ホットドッグ,キャベツ,0.03,玉"
"カレーパン,食パン5枚切り,0.7,枚"
"カレーパン,カレー,28.6,g"
"カレーパン,卵,1,個"
"カレーパン,パン粉,5.7,g"
ハンバーガー

フレンチトースト（フランスパン）
フルーツサンド
ミネストローネ
シーフードチャウダー
コンソメスープ
豚汁
カレー
塩おにぎり
鮭おにぎり
たくあんおにぎり
ほうとう
油淋鶏
レタスサラダ
コールスローサラダ
アボガドデッィプ
たこ焼き
